tool_name,category,vertical,free_plan,starting_price_usd,highest_plan_price_usd,plan_count,rating,features_count,website
"MetaMask",crypto-wallets,Crypto,true,0,,1,4.3,12,https://metamask.io
"Phantom",crypto-wallets,Crypto,true,0,,1,4.6,11,https://phantom.app
"Trust Wallet",crypto-wallets,Crypto,true,0,,1,4.2,11,https://trustwallet.com
"Ledger",crypto-wallets,Crypto,false,79,399,3,4.4,12,https://www.ledger.com
"Trezor",crypto-wallets,Crypto,false,79,169,2,4.3,12,https://trezor.io
"Exodus",crypto-wallets,Crypto,true,0,,1,4.3,12,https://www.exodus.com
"Rabby Wallet",crypto-wallets,Crypto,true,0,,1,4.4,12,https://rabby.io
"Coinbase Wallet",crypto-wallets,Crypto,true,0,,1,4.1,12,https://www.coinbase.com/wallet
"Uniswap",dex,Crypto,true,0,1,5,,12,https://app.uniswap.org
"PancakeSwap",dex,Crypto,true,0,1,5,,11,https://pancakeswap.finance
"Raydium",dex,Crypto,true,0,1,5,,11,https://raydium.io
"Orca",dex,Crypto,true,0,1,5,,11,https://www.orca.so
"Curve Finance",dex,Crypto,true,0,0.04,4,,11,https://curve.fi
"SushiSwap",dex,Crypto,true,0,1,5,,11,https://www.sushi.com
"dYdX",dex,Crypto,true,0,0.1,3,,11,https://dydx.exchange
"Trader Joe",dex,Crypto,true,0,0.5,5,,11,https://traderjoexyz.com
"SafePal",crypto-wallets,Crypto,true,0,79.99,4,,12,https://www.safepal.com
"Tangem",crypto-wallets,Crypto,false,54.99,69.99,2,,12,https://tangem.com
"Keystone",crypto-wallets,Crypto,false,99,169,2,,12,https://keyst.one
